x_ft,y_ft,Kxx,Kxy,Kyy
9.803171905583209591e+05,1.966285895293701033e+05,3.431938775337077790e-03,2.550720843828076234e-03,1.895772986946711635e-03
9.802877964474731125e+05,1.967687185942394717e+05,0.000000000000000000e+00,1.827996726354056630e-20,0.000000000000000000e+00
9.803644962881194660e+05,1.969396328912453610e+05,1.940524862006363428e-04,7.230414183410170518e-05,2.245298007793471607e-04
9.803705187588755507e+05,1.962378559568160272e+05,2.964081021436130244e-04,5.273373468278509538e-04,9.381817681377076917e-04
9.805343506058088969e+05,1.967132436515938316e+05,2.333825565867105273e-04,3.453759241051986462e-04,5.111115873272264239e-04
9.805580275813920889e+05,1.959559214889282011e+05,1.012609701890194980e-05,-9.560572330996711414e-05,9.026631201103339514e-04
9.805601919037258485e+05,1.961439580963693734e+05,2.036739065068012098e-04,-8.729376142158143121e-05,8.064265013749498650e-04
9.806436529661749955e+05,1.964654853267892613e+05,3.090481316070068946e-04,2.285009034088567536e-04,6.761346606500188506e-04
9.805766109497727593e+05,1.969424228575839370e+05,2.945846361233944895e-04,2.519804369089147645e-04,5.089536600369556777e-04
9.807879117575009586e+05,1.959584900181677949e+05,8.881615829786433018e-05,-7.558559114063090041e-05,6.432592556996471133e-05
9.807793181802462786e+05,1.962014390606753295e+05,2.912263841804890231e-04,2.034709551565684812e-06,4.284267736213686608e-04
9.807260125918487320e+05,1.967345052887222555e+05,2.491527043080872230e-05,-2.832766207381188004e-05,2.120340609277751099e-04
9.809573081321583595e+05,1.966759118575511093e+05,1.555891060319665225e-04,5.961697492810084177e-05,2.284339688183299562e-05
9.800036421662652865e+05,1.974249019680061901e+05,1.922263158240145769e-04,6.614925025226416240e-04,2.276339371214238655e-03
9.801224239776647883e+05,1.979309755676879431e+05,1.096980474489795201e-02,1.801609580737476794e-04,2.958846722330847068e-06
9.802707643576958217e+05,1.973094574386035674e+05,1.978127282075274639e-04,-5.134477987020858114e-05,1.466701819085682089e-04
9.803442314385783393e+05,1.975804267442093987e+05,1.849225361683169277e-04,-2.179264048439028678e-05,3.514236312527524485e-04
9.804019961453886935e+05,1.977786177494636213e+05,1.364899618625133038e-04,9.093266114408376458e-05,5.355093326792470911e-04
9.804673354361794190e+05,1.972075584823954850e+05,3.687700363145540467e-04,-1.043156550565215650e-04,2.128534684182294601e-04
9.804534730018569389e+05,1.979615710176502180e+05,3.157243131586169729e-05,-7.514450804736741104e-05,1.788489785024575333e-04
9.805894165396335302e+05,1.974450687090738502e+05,1.085930911678628728e-04,7.439875230239376266e-05,2.623349035240914542e-04
9.806986853343036491e+05,1.971614305449248059e+05,2.395766946284801134e-04,-3.106190242968456789e-05,1.763985705079721637e-04
9.806207944815275259e+05,1.976176501614733716e+05,2.130451355981747555e-04,4.029291775299764008e-04,1.270553866629951399e-03
9.806553525203991449e+05,1.977268287980190944e+05,2.031115658880125702e-04,5.164739646333003616e-04,1.602389105723958955e-03
9.806975874838398304e+05,1.978479522964180214e+05,1.360614308694686682e-04,2.160268350819809636e-04,7.785705015036387686e-04
9.807619240409263875e+05,1.980253114037367341e+05,1.513380361228705844e-04,6.867672497499890201e-05,5.717866152536986999e-04
9.808638806423784699e+05,1.974878904518759809e+05,8.616642159630647825e-05,1.235470166464251523e-04,2.315112719949823366e-04
9.809095220599400345e+05,1.969930336702921195e+05,2.484364055762723188e-04,9.340840295081095348e-05,5.357801066759454174e-05
9.809557546193973394e+05,1.976999601573811087e+05,1.746763448521037611e-04,4.644328986161924721e-05,3.099773528086487953e-04
9.803025187673139153e+05,1.999101761995351408e+05,1.484846637942433423e-03,-3.307809685801441231e-04,9.502540559904747749e-05
9.804423944308377104e+05,1.993630444559142052e+05,1.821621876039128049e-02,-1.045664903595159428e-02,6.002426216949908501e-03
9.805481227011061274e+05,1.998839626119507593e+05,1.965400644756207238e-02,-4.552433086376934945e-03,1.054474417785192415e-03
9.807538007573937066e+05,1.990471049844785884e+05,7.039083187115381305e-22,0.000000000000000000e+00,-1.126253309938461009e-20
9.808024267997664865e+05,1.994174395629841019e+05,1.762815261147284449e-04,-7.654177932998803289e-05,1.075392532205667902e-04
9.808584732668666402e+05,1.997239575018495088e+05,4.058219080386283413e-04,-8.225309776001800345e-05,1.667128352882096584e-05
9.811089121847398346e+05,1.950569766227847140e+05,1.483385843148340034e-03,2.349456488981264697e-04,4.651791547076491160e-04
9.812384316455541411e+05,1.950562654320181755e+05,7.513460233918210990e-04,2.222137682175796868e-04,6.572066298101038317e-05
9.812376864845249802e+05,1.948988924954145914e+05,4.369006318193687909e-04,1.427132822125062807e-04,4.661719264413190656e-05
9.814875143830851885e+05,1.950251170165979129e+05,7.512877714989809816e-03,3.112203980378969864e-03,1.289228173667916755e-03
9.815071381413222989e+05,1.949925801423630910e+05,8.872127398658467834e-03,3.068897266545709667e-03,1.061541387924143376e-03
9.809934635345197748e+05,1.957514850055301504e+05,3.840502526862433325e-05,5.075836928177198152e-05,1.956575081082397635e-03
9.810075049725751160e+05,1.958718410915145942e+05,1.451150164300970516e-04,1.273595777591902197e-04,1.858710817999329693e-03
9.812544531715395860e+05,1.956122767850573873e+05,2.448544271944683008e-04,1.502241384289972320e-04,9.216615776692129716e-05
9.814603506666998146e+05,1.954592717264571402e+05,9.245831843689358159e-05,5.234073997365792713e-05,2.963014153085561080e-05
9.814231242710071383e+05,1.957095385591707891e+05,4.535944855437304738e-04,4.024791899367320528e-04,8.744995134416743126e-04
9.812834558026670711e+05,1.958110864974720171e+05,1.562272021310690985e-05,7.152258893544816306e-05,3.274385419600234540e-04
9.814620314332734561e+05,1.959053954166937619e+05,4.104161228607932982e-04,1.078538635019898407e-04,2.716537872596242538e-04
9.813992945679707918e+05,1.951589558242219791e+05,9.816609835425875192e-04,4.218202287207416159e-04,1.812563688901052306e-04
9.816283587609707611e+05,1.959322755733743834e+05,1.263128701114664453e-03,-5.453071203930215903e-04,1.471040478434179491e-03
9.817098570860327454e+05,1.957041605002542492e+05,2.640726829304851277e-03,-1.286885771104687463e-03,2.086814157409214339e-03
9.818502255854535615e+05,1.958665847885152034e+05,9.431869848204193791e-04,5.088190978976890686e-04,5.925896713469088655e-04
9.818095771266032243e+05,1.955833517849058553e+05,4.738345425625338449e-05,-5.375319504346657846e-05,6.097921780364152328e-05
9.819843534997678362e+05,1.957124885779935576e+05,2.764349757649868663e-04,-1.285459834828064885e-04,3.068377174848023275e-04
9.820171719095597509e+05,1.955129268723429996e+05,4.853064033431808352e-03,3.771235298083667944e-03,3.240095404649105150e-03
9.810265717106177472e+05,1.960068575511970848e+05,1.405302774724032739e-04,6.099210037073751360e-05,1.747382775948808477e-03
9.809806393465655856e+05,1.961236832548033854e+05,9.730035887409756298e-04,1.163495485582338295e-03,4.027021543976543050e-03
9.811580000782664865e+05,1.966292914026323415e+05,8.534560698224874682e-04,-2.379821424904072222e-04,5.670547379023545579e-04
9.812629268415271072e+05,1.968359438308881363e+05,4.716603214992264319e-04,-4.339576464031577856e-04,1.735748820023546093e-03
9.813717424267858732e+05,1.960409143265013408e+05,5.266867845097710074e-04,4.956693353386336387e-05,4.283847496640801316e-04
9.814992439755480736e+05,1.961668065348603122e+05,4.982772485156112879e-04,-1.253155386479942116e-04,1.978239127101066776e-03
9.815655235192093533e+05,1.960676872598689806e+05,8.037769917613942243e-04,-4.987124472523666576e-04,1.028034677172773954e-03
9.815433975439463975e+05,1.964213757681033458e+05,7.312594268122874983e-04,-2.228188904411730327e-04,6.505945836929627772e-04
9.816242688380324980e+05,1.966269311889702221e+05,3.552388405142140721e-04,-7.822575049639842978e-05,3.905334435463394508e-04
9.817986094370981446e+05,1.960350660241161240e+05,9.421006441308002076e-04,4.556796201930508449e-04,1.407199206894806879e-03
9.817492528876665747e+05,1.962273222368855786e+05,4.135744346768422037e-04,-3.074525232571983092e-04,2.283051328915707088e-03
9.817325070829065517e+05,1.963479873442345997e+05,2.709919842319751578e-04,1.148367773511655977e-04,1.657801049932949031e-03
9.817589792962714564e+05,1.968127227145047509e+05,3.011731705597975794e-04,1.924175689690417259e-05,3.643216909949282384e-04
9.818414222026966745e+05,1.965270161102334096e+05,1.443144046142268763e-04,-7.257968626872566881e-05,2.316712533625327479e-04
9.818335362385408953e+05,1.969936377427769767e+05,2.298000309449282083e-04,2.672461223080890673e-04,4.182957536271053882e-04
9.819986924411110813e+05,1.960210351440942031e+05,3.361887210446454460e-04,3.072403290562740019e-04,2.807846125988019948e-04
9.809643520220249193e+05,1.971933669864397962e+05,2.188588914495242491e-04,3.526376668044251439e-04,5.681894997533079410e-04
9.810362186970055336e+05,1.978606956197207328e+05,3.080098532249593915e-02,-3.003170484677617630e-02,3.115248351041393152e-02
9.811446747903750511e+05,1.970338475574154290e+05,0.000000000000000000e+00,-8.630193881607744679e-21,1.726038776321548936e-20
9.811096605169138638e+05,1.973138158215757867e+05,2.073854530353190647e-04,2.909882006114872743e-04,5.897683905819287335e-04
9.811985879578843014e+05,1.974247380327750288e+05,8.660198935899843329e-04,1.341981553443047804e-03,2.226764285880733149e-03
9.812366609710792545e+05,1.975310236746943847e+05,4.018518761599265102e-04,5.342902440345576260e-04,9.602649904395314491e-04
9.813077582075936953e+05,1.976913831605595478e+05,6.632618592174280596e-04,-1.476591160025770275e-04,5.638606143348626155e-04
9.813593738214435289e+05,1.971505172147148114e+05,3.925000437233710604e-04,-1.325326312922891255e-04,6.781663484665304909e-04
9.814533823526703054e+05,1.978838129727402702e+05,2.371561895828248933e-04,4.301374852695504192e-05,2.582365664706597801e-04
9.815413641964724520e+05,1.972645335165378638e+05,1.709663401844667668e-04,2.380443489028597284e-04,3.489939175147788045e-04
9.815658116178456694e+05,1.974645090931774757e+05,3.366680501999010002e-03,-1.558464176692004417e-03,1.297866864624612308e-03
9.817019267314667813e+05,1.973723538443529396e+05,7.478462441431104951e-04,4.478993660637619603e-04,1.055231725381471693e-03
9.817044334603615571e+05,1.977560387147788715e+05,3.046442732691825839e-04,-1.328033769830718163e-04,2.511954230334293684e-04
9.818492528401244199e+05,1.975759819538757147e+05,6.547679898474001187e-04,-7.120485893904683259e-05,1.045886965591882054e-03
9.818944819396863459e+05,1.971500159598103783e+05,5.183764645253235602e-04,4.614227761011631683e-04,9.129386979767417989e-04
9.819142718420808669e+05,1.978250536512835824e+05,1.300602264906571871e-04,2.547845034280873833e-05,2.169513423524224564e-04
9.811217925094054081e+05,1.989673815009875398e+05,0.000000000000000000e+00,-6.192458216896990688e-20,0.000000000000000000e+00
9.811451391778013203e+05,1.980798095316841209e+05,5.724162057376176732e-05,6.703870167158999287e-06,2.969716922333176913e-04
9.812374085671795765e+05,1.983087771854960010e+05,2.264023609716482751e-04,4.393683057621351057e-04,8.877811856256134348e-04
9.812926011975359870e+05,1.985208335109608888e+05,2.163299020374795910e-04,2.408911660996537469e-04,4.892778295249880722e-04
9.814201543996426044e+05,1.987533101089280390e+05,7.460131362235158535e-05,1.001616695310414673e-04,2.434343874991718294e-04
9.815824700882557081e+05,1.989201576743004262e+05,1.481302585807681052e-04,9.316850350218784584e-05,2.687064737177904299e-04
9.815755027196560986e+05,1.980319351173610194e+05,3.138142394094442966e-04,4.719528962636633128e-04,8.372598759650418500e-04
9.816705912330115680e+05,1.981155730920001224e+05,6.300834122797952961e-04,9.708933633174572989e-04,1.546122446339170736e-03
9.817698875364435371e+05,1.982397981954317365e+05,1.753090457883751377e-04,6.256272728013894616e-05,3.700862056904646543e-04
