x_ft,y_ft,Kxx,Kxy,Kyy
9.806131705560350092e+05,1.911567348424288793e+05,7.551640908542175623e+01,-9.960978375230824611e+01,1.453985580777721225e+02
9.807899288761017378e+05,1.914777939585562563e+05,nan,nan,nan
9.804295042934508529e+05,1.914128639058221306e+05,nan,nan,nan
9.807590562212328659e+05,1.910164639589170110e+05,2.133149434662796864e+02,-1.163436358128607537e+02,5.249078490304202660e+02
9.808296739181572339e+05,1.910251281518446049e+05,2.614660960921370929e+02,-3.565417083385977737e+00,4.861891911990365300e-02
9.806723685043248115e+05,1.912214639454957505e+05,nan,nan,nan
9.808364492712527281e+05,1.914544107980883855e+05,nan,nan,nan
9.807560380917871371e+05,1.914934471426690870e+05,nan,nan,nan
9.805228281471187947e+05,1.913018705719318823e+05,nan,nan,nan
9.807742953359039966e+05,1.910750081387065875e+05,nan,nan,nan
9.800253360188559163e+05,1.948837313971539843e+05,nan,nan,nan
9.803588141651130281e+05,1.946472953540905437e+05,nan,nan,nan
9.804799594754796708e+05,1.947269997424533358e+05,1.923740634023369012e+01,-1.490552263126320831e+00,7.963582753360759270e+00
9.806455181348304031e+05,1.948780735328543233e+05,nan,nan,nan
9.805780789146916941e+05,1.943321145469525072e+05,nan,nan,nan
9.807126247348525794e+05,1.948088628656847868e+05,5.071419608545415514e+01,1.007816996309469104e+01,2.168995907453784344e+00
9.807906655538063496e+05,1.948827559621538967e+05,3.285761608023728542e+01,4.125837374838431382e-02,2.866599683788593822e+01
9.807931247076294385e+05,1.950092684454970004e+05,8.597050906525908198e-01,-3.625798549933590742e+00,1.560920377579057217e+01
9.812533767185317120e+05,1.943876240388350852e+05,nan,nan,nan
9.803981798384701833e+05,1.952204975527366041e+05,7.434328729311313566e+01,-7.970796344893389573e+01,1.025232322829901506e+02
9.803217022177802864e+05,1.954675136389632535e+05,1.948977978894544805e+01,-7.189798940546787698e+00,6.029792244944820112e+01
9.803189780012107221e+05,1.956410332137595979e+05,8.110035451562854547e+00,4.501331821746495265e+00,4.668970598231073410e+01
9.804549369339125697e+05,1.952411043852021103e+05,4.537589217776348960e+01,-1.051074229957382755e+01,2.446240146344068833e+00
9.803168931092969142e+05,1.958459079007397522e+05,6.639863984178424605e-01,3.867976033076600206e+00,3.746900224187272244e+01
9.806023634629762964e+05,1.956136137237425719e+05,1.485179722905041189e+01,-1.124324289396678056e+00,6.434549686720396622e+00
9.806018928913397249e+05,1.957781721906902094e+05,7.972252262814031987e+00,-2.065597420715920673e+00,1.565503994906379326e+01
9.806546347323337104e+05,1.952923450447781943e+05,3.767783384381112044e-01,-1.962993678398349484e+00,1.042869524886108934e+01
9.807363273133613402e+05,1.951734189817961887e+05,2.390209117260734786e+02,3.890897050391247802e+01,4.137574194290049689e+01
9.805865713344396790e+05,1.954288248669954482e+05,1.372377664550583987e+01,-1.195454527758273766e+00,9.026543224925072550e+00
9.808011483219934162e+05,1.955073981021480286e+05,9.156984027261023229e+00,1.233683736011227827e+00,5.020835686190230795e+00
9.808831950442289235e+05,1.952467885440158425e+05,2.134315458095000295e+01,1.148832105768757472e+01,1.147652679151567057e+01
9.811104089523614384e+05,1.953318320507197059e+05,1.447673246962476057e+01,-2.333020535011533614e+00,3.569065260611842660e+01
9.810067486546136206e+05,1.956393097306662821e+05,1.398652223596534760e+01,2.725736710215836966e-01,1.383963787573720872e+01
9.810342358155620750e+05,1.955293630446330353e+05,1.714674693263074801e+01,4.016820470103163565e+00,1.683401684781456353e+01
9.800104875072977738e+05,1.960349840025621234e+05,nan,nan,nan
9.800253509163741255e+05,1.961033208854425175e+05,nan,nan,nan
9.801508172570266761e+05,1.965571419773622765e+05,1.141508886369563314e+01,-1.270141792725075192e+01,1.669122462989271014e+02
9.799982851297450252e+05,1.966082347904480121e+05,7.679746054575453673e-01,3.769158039513261560e+00,2.264945306321757812e+01
9.800450389716770733e+05,1.966890542759565578e+05,2.167767720763787054e+01,-6.909051710814529734e+00,5.980809048951043039e+00
9.798997266604639590e+05,1.969837638452385436e+05,3.468168377709269556e+00,9.950371111408301772e+00,2.855538430822277007e+01
9.801046603408721276e+05,1.960898353322502517e+05,1.589998455456587578e+01,4.914038195535692211e+01,1.532982518547760549e+02
9.801200494951251894e+05,1.965772282686781546e+05,3.461415644496845356e+00,-2.777761191087283699e+00,1.167196534137902688e+02
9.801880061871657381e+05,1.965215298159932718e+05,nan,nan,nan
9.802299798076148145e+05,1.970308601520906959e+05,7.237606286853221604e+00,-4.014387811163542819e-01,1.046975512230987526e+01
9.802708716352423653e+05,1.964346879895853053e+05,3.128976861018613498e+00,9.556278379329050665e+00,2.918725174585965831e+01
9.802874466000559041e+05,1.965826719545610831e+05,3.800754875049362624e+01,4.647081351285435424e+00,2.737652990243177697e+01
9.802022228803695180e+05,1.966690980684185342e+05,nan,nan,nan
9.803171905583209591e+05,1.966285895293701033e+05,1.252211095516927664e+01,9.425494475600414646e+00,7.121214372716639929e+00
9.802877964474731125e+05,1.967687185942394717e+05,1.026637503965566189e+00,2.535497279111673219e+00,6.261943896994357495e+00
9.803644962881194660e+05,1.969396328912453610e+05,7.741652121767183203e+00,1.237651672586836948e+00,1.385639040824970536e+01
9.803705187588755507e+05,1.962378559568160272e+05,4.001982020533935369e+00,8.387364080794311505e+00,1.787349777946814910e+01
9.805343506058088969e+05,1.967132436515938316e+05,3.917328611898305279e+00,5.359942129334516636e+00,7.455824292706942025e+00
9.805580275813920889e+05,1.959559214889282011e+05,3.404977548189717096e-01,-2.898718033080652123e+00,2.497701939854673014e+01
9.805601919037258485e+05,1.961439580963693734e+05,5.875202839654841469e+00,4.151980932987229811e-01,2.324733385401725627e+01
9.806436529661749955e+05,1.964654853267892613e+05,1.520124710237609378e+01,1.441744798701326324e+01,3.379616825960592763e+01
9.805766109497727593e+05,1.969424228575839370e+05,7.187348014560518195e+00,4.574023980903302311e-01,8.698733767264441141e+00
9.807879117575009586e+05,1.959584900181677949e+05,6.036682337178246094e+00,1.408295384419302743e-01,2.568482947696295149e+00
9.807793181802462786e+05,1.962014390606753295e+05,9.630803030148959110e+00,2.651202830197439742e+00,1.108057781663421260e+01
9.807260125918487320e+05,1.967345052887222555e+05,2.370847611109395103e+01,2.825256023264645933e+01,5.005799337200200227e+01
9.809573081321583595e+05,1.966759118575511093e+05,6.191455914358450663e+00,3.119355680130170838e-01,9.411546717168198128e+00
9.800036421662652865e+05,1.974249019680061901e+05,4.105991802964823023e+00,1.442028490444643296e+01,5.082209280464171286e+01
9.801224239776647883e+05,1.979309755676879431e+05,1.728962052959098017e+01,3.113409391237317303e-01,8.899104006847765105e-03
9.802707643576958217e+05,1.973094574386035674e+05,7.321742053607642298e+00,7.050944662029491605e-02,1.025241847539218476e+01
9.803442314385783393e+05,1.975804267442093987e+05,8.384208472849415728e+00,-1.700603375405189022e+00,1.117304169698766003e+01
9.804019961453886935e+05,1.977786177494636213e+05,1.025462487930998989e+01,-2.917971737319436265e+00,1.105825292426674622e+01
9.804673354361794190e+05,1.972075584823954850e+05,7.197615176701249950e+00,5.342040377111265670e-01,1.062327111323568474e+01
9.804534730018569389e+05,1.979615710176502180e+05,4.493700420050586786e+00,-1.156140647813023836e+00,5.769121616254492046e+00
9.805894165396335302e+05,1.974450687090738502e+05,3.597328272424478168e+00,3.824078212921704356e-01,7.223520440718424140e+00
9.806986853343036491e+05,1.971614305449248059e+05,1.188514298308325401e+01,9.896140668211495850e+00,2.503921305884929538e+01
9.806207944815275259e+05,1.976176501614733716e+05,7.602359741636386836e+00,-1.394529747228465233e+00,9.744953438961138303e+00
9.806553525203991449e+05,1.977268287980190944e+05,8.705577753899465421e+00,-1.960995319301908513e+00,9.977458762024793870e+00
9.806975874838398304e+05,1.978479522964180214e+05,6.347730004823509908e+00,-1.059950791791601121e+00,9.161128914929671296e+00
9.807619240409263875e+05,1.980253114037367341e+05,8.685608214232477309e+00,-1.260844830334259647e+00,1.436801962473733063e+01
9.808638806423784699e+05,1.974878904518759809e+05,1.119060377644242266e+01,1.268987932988738621e+01,3.015212932571114735e+01
9.809095220599400345e+05,1.969930336702921195e+05,1.038508077949483344e+01,6.458464882971541421e+00,1.469986924778083193e+01
9.809557546193973394e+05,1.976999601573811087e+05,1.644454369196793309e+01,-4.473942299914511089e+00,1.352879608759042895e+01
9.801819520590463653e+05,1.981482820528832090e+05,nan,nan,nan
9.802381268956498243e+05,1.983486940526154940e+05,nan,nan,nan
9.805226925721858861e+05,1.982006687003877014e+05,nan,nan,nan
9.803025187673139153e+05,1.999101761995351408e+05,1.803253391708566156e+01,-5.947924747978110105e+00,2.453063293509048393e+00
9.804423944308377104e+05,1.993630444559142052e+05,2.176549860027973438e+01,-1.250352952008060470e+01,7.183332257395702136e+00
9.804762575765989022e+05,1.995681294101688545e+05,nan,nan,nan
9.805481227011061274e+05,1.998839626119507593e+05,3.931878777890442933e+01,-9.123969683076909476e+00,2.122466526560283118e+00
9.807538007573937066e+05,1.990471049844785884e+05,3.587633295206321127e-01,1.660809807725132980e+00,7.688325395802100282e+00
9.808024267997664865e+05,1.994174395629841019e+05,6.239726153516206963e+00,-1.761458388452988855e+00,9.902841442962364127e+00
9.808584732668666402e+05,1.997239575018495088e+05,3.027857505391527226e+01,-6.121725775367830025e+00,1.237711319394967591e+00
9.811089121847398346e+05,1.950569766227847140e+05,5.644354482596628486e+01,4.280295601208721656e+00,5.854820499076255658e+01
9.811450741830691695e+05,1.946061166065523284e+05,nan,nan,nan
9.812384316455541411e+05,1.950562654320181755e+05,2.471733068851428428e+01,7.407207764481167800e+00,2.220352254934244929e+00
9.812376864845249802e+05,1.948988924954145914e+05,1.211095650018240093e+02,3.930971636932893887e+01,1.275994644625835939e+01
9.810945113479235442e+05,1.948451741340452863e+05,nan,nan,nan
9.817752177418367937e+05,1.947706816823158879e+05,nan,nan,nan
9.816511874315157766e+05,1.948990431052311324e+05,nan,nan,nan
9.814875143830851885e+05,1.950251170165979129e+05,2.401328064947812209e+02,8.071786095843479814e+01,2.877185138718589030e+01
9.815071381413222989e+05,1.949925801423630910e+05,1.788602536753805623e+02,5.918517923351348031e+01,1.963570591741239113e+01
9.809934635345197748e+05,1.957514850055301504e+05,1.166129056565373645e+01,8.325026343083498370e-02,1.055913373367705788e+01
9.810075049725751160e+05,1.958718410915145942e+05,5.585902643988546856e+00,2.450275632251329938e+00,1.458241416300530879e+01
9.812544531715395860e+05,1.956122767850573873e+05,8.658040088358525566e+00,3.541181752752861733e+00,1.771416306772928717e+00
9.814603506666998146e+05,1.954592717264571402e+05,1.095333443754393699e+01,6.093027152593887941e+00,4.181587927216504852e+00
9.814231242710071383e+05,1.957095385591707891e+05,7.962011540037126522e+00,5.071489429362611823e+00,9.387152057720539844e+00
9.812834558026670711e+05,1.958110864974720171e+05,5.704910783219379056e+00,2.137291332675377742e+00,7.316434021021638756e+00
9.814620314332734561e+05,1.959053954166937619e+05,8.265585763270346220e+00,4.020877907875720858e+00,6.991230108016503131e+00
9.813992945679707918e+05,1.951589558242219791e+05,4.393903395891499741e+01,1.630510461266902311e+01,6.477766385481500855e+00
9.816283587609707611e+05,1.959322755733743834e+05,2.381901141657101206e+01,3.517370655969997983e+00,2.299181238116327108e+01
9.817098570860327454e+05,1.957041605002542492e+05,2.889298101944643449e+01,1.051930313046958076e+01,2.576101805081364304e+01
9.818502255854535615e+05,1.958665847885152034e+05,1.657192599744610462e+01,8.344845971997997935e+00,1.479286311528753473e+01
9.818095771266032243e+05,1.955833517849058553e+05,5.338170116833919288e+00,-6.063663190145214266e+00,6.888008729958611909e+00
9.819843534997678362e+05,1.957124885779935576e+05,9.874634849462813335e+00,-2.776363853325794828e+00,1.131271084806185634e+01
9.820171719095597509e+05,1.955129268723429996e+05,2.816029043763780493e+01,-5.995683556851115981e+00,2.704358747879636837e+01
9.810265717106177472e+05,1.960068575511970848e+05,9.937165692984416765e+00,9.324236095649718337e-01,1.496012332445740434e+01
9.809806393465655856e+05,1.961236832548033854e+05,1.750828898623203855e+01,3.841979206973269001e+00,4.046822433967329857e+01
9.811580000782664865e+05,1.966292914026323415e+05,1.674015658589799926e+01,-1.395508606709026656e-01,1.846539027025295354e+01
9.812629268415271072e+05,1.968359438308881363e+05,1.631926437297334331e+01,-4.693449019429391633e+00,2.469876633358758156e+01
9.813717424267858732e+05,1.960409143265013408e+05,1.113750794818063028e+01,5.738980895962324524e+00,1.177198623550508394e+01
9.814992439755480736e+05,1.961668065348603122e+05,2.710180118018741879e+01,4.829073176566785364e+00,1.685389648303406673e+01
9.815655235192093533e+05,1.960676872598689806e+05,9.433794166445258256e+00,-5.526391430338677857e+00,1.459797940652557457e+01
9.815433975439463975e+05,1.964213757681033458e+05,1.399741022957501890e+01,-1.744321707711034009e+00,1.338116395424539284e+01
9.816242688380324980e+05,1.966269311889702221e+05,8.535300564865403672e+00,1.178805430387999502e-02,1.121504649724329639e+01
9.817986094370981446e+05,1.960350660241161240e+05,2.755074122393178726e+01,2.269003116915173734e+01,2.037657703581215429e+01
